f_species,f_breed,f_prod_system,f_region,x0_animals
poultry,broiler,conventional,2413,0.0
cattle,dairy,conventional,2414,2821.9098586572227
cattle,beef,conventional,2414,454.3481372084818
sheep,none,conventional,2414,985.9226953495312
pigs,none,conventional,2414,84.00461525726062
poultry,layer,conventional,2414,23050.41682999889
poultry,broiler,conventional,2414,0.0
cattle,dairy,conventional,2415,428.5432637224652
cattle,beef,conventional,2415,111.14485630799126
sheep,none,conventional,2415,723.7743838655944
pigs,none,conventional,2415,20.51891361723512
poultry,layer,conventional,2415,21.761579831166163
poultry,broiler,conventional,2415,0.0
cattle,dairy,conventional,2419,114.8199374180626
cattle,beef,conventional,2419,25.485627126763887
sheep,none,conventional,2419,145.7081705684741
pigs,none,conventional,2419,7.455753697868184
poultry,layer,conventional,2419,0.0
poultry,broiler,conventional,2419,0.0
cattle,dairy,conventional,2511,3007.945018552103
cattle,beef,conventional,2511,537.0759358194355
sheep,none,conventional,2511,1505.9900669538997
pigs,none,conventional,2511,1012.0477831408318
poultry,layer,conventional,2511,18610.07698768996
poultry,broiler,conventional,2511,0.0
cattle,dairy,conventional,2512,1616.994074625295
cattle,beef,conventional,2512,253.3038824739988
sheep,none,conventional,2512,1042.235970283208
pigs,none,conventional,2512,324.8582221016633
poultry,layer,conventional,2512,8313.9967597984
poultry,broiler,conventional,2512,0.0
cattle,dairy,conventional,2519,14.613039495390462
cattle,beef,conventional,2519,26.00064018911444
sheep,none,conventional,2519,107.91220953182956
pigs,none,conventional,2519,0.0076134150227643
poultry,layer,conventional,2519,0.0
poultry,broiler,conventional,2519,0.0
cattle,dairy,conventional,2521,302.9680128506846
cattle,beef,conventional,2521,103.36836256655604
sheep,none,conventional,2521,102.1781728066092
pigs,none,conventional,2521,5.919295439245769
poultry,layer,conventional,2521,74.01611427305747
poultry,broiler,conventional,2521,0.0
cattle,dairy,organic,111,175.92767259187409
cattle,beef,organic,111,385.4224066432304
